标题,介绍
楚飞解放前四后八（22.5立方）运油车,产品名称：解放前四后八运油车-CA5310GYYP66K2L7T4E4型公告批次：257底盘型号：CA5310GYYP66K2L7T4E4排放标准：国四总质量：31000(Kg)接……
陕汽德龙6×2液罐运输车,★ 具有高动力性、高可靠性、高安全性、低油耗、低重心等优点。◇ 罐体容积18-20方，最高车速95km/h，经济车速55-70km/h，适合在公路工况下使用……
湖北合力东风天龙小三轴运油车,"东风天龙小三轴运油车产品主要技术资料产品名称：东风天龙小三轴运油车外型尺寸(mm)：11800×2480×3100,3690底盘型号：DFL1253AX货厢尺寸(mm)：××总 质……"
三一重工SE10020-S低风速高效风力发电机组,全新的整机设计理念通过增加叶片长度、优化翼型设计，风轮扫风面积由3518.9m2/MW增加到4164.0m2/MW*，大幅度提高风机效率；通过控制优化，机舱质量由40T/MW降低到……
三一重工SE8220III-L2.0MW低温型机组,SE8220III-L风电机组为SE8220III机组的扩展型，是适用于II类陆上风场的2.0MW低温型机组，机组采用中速双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工SE9320-L32.0MW低温型机组,SE9320-3为高速双馈机组，是适用于IECⅢA类风场的2.0MW低温型机组，机组，采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工桶基础海上风电施工装备,1）技术原理桶形基础顶端封闭，底端开口，是一种新型海洋平台基础形式……
三一重工SE11030Ⅲ-S3.0MW常温型机组,? 产品总述SE11030III-S风力发电机组采用水平轴、三叶片整体布局结构，机组外形图如下所示……
三一重工多维数控抱举安装平台桶基础,装备应用领域主要适用于水深为5~50米近海区域风机的安装施工……
三一重工SE8220III陆上型风机,SE8220III中速双馈机组，是适用于II类陆上风场的2.0MW常温型机组，机组采用中速双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工SYTQ100-H两栖起重机两栖施工装备,用途：软土区域重件吊装作业特点：额定起重性能：100t/100m；在无水和水深2.5m以下滩涂路面行驶和工作，最大行驶速度为2.0km/h；采用桶形基础保证吊装作业时的安全性；立柱……
三一重工SE7715-L1.5MW低温型机组,SE7715-L风电机组为SE7715扩展型，是适用于II类陆上风场的1.5MW低温型机组，机组采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工SYTQ100两栖起重机两栖施工装备,用途：软土区域重件吊装作业特点：额定起重性能：100t/100m；在无水和水深2.5m以下滩涂路面行驶和工作，最大行驶速度为2.0km/h；采用桶形基础保证吊装作业时的安全性；装备……
三一重工SE8215-L31.5MW低温型机组,SE8215-L3风电机组为SE7715的扩展型，是适用于III类陆上风场1.5MW低温型机组，机组采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工SYTQ130两栖起重机两栖施工装备,用途：软土区域吊装作业特点：最大起重能力130t;在无水和水深2.5m以下滩涂路面行驶和工作，最大行驶速度为2.5km/h；采用桶形基础保证吊装作业时的安全性；装备GPS路线管理系……
三一重工SE77151.5MW常温型机组,SE7715高速双馈机组，是适用于II类陆上风场的1.5MW常温型机组，机组采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……
三一重工SYTZ800两栖打桩机两栖施工装备,用途：桩基础施工特点：多用途模块式设计，可用于多种桩型施工……
GBPSCZFB12F破碎锤,"该型号钢钎直径为154mm,适28-36吨挖掘机装配，全新设计行程加大，活塞增粗，钢钎变细，固体结构更强，内置主控换向阀，打击更强劲有力，整机重量不增，操控更灵活……"
东空轻型载体用破碎锤,与轻型载体匹配完美，性能优越，工作超群，机型齐全，能满足0.7吨(TNB-08M)到6吨(TNB-5M)载体的广泛需求……
古河F35液压破碎锤F系列,产品介绍……
韩宇EHB52破碎锤,"EHB52E 技术参数参数类数值单位工作重量3,710)kg(lbs)需要流量230 ~ 330lpm (gpm)工作压力165 ~ 185bar (psi)输入功率打击频率250……"
水山SSSB系列破碎锤,……
泰石克TR30/TR43/TR60挖掘机破碎锤,? 强有力的打击力新型改进液压氮气驱动系提供强劲有力的破碎锤打击能量，性能优越。液压能量转换成打击力，能量损失小(TR220-TR400)……
山河智能SWHB135液压破碎锤,主要参数总重量：三角型/塔型1462/1515 (kg)全长：三角型/塔型2289/2691 (mm)宽度：三角型/塔型508/580 (mm)工作压力160～180 (bar)工……
斗山HB03破碎锤,"产品特性和优势?通过全国服务网络,由服务技术人员进行专业的售后支援,一站式服务方便快捷? 破碎器融入专业的外观设计，强化了焊接工艺，经过多次结构及耐久性测试，确保最优的产品质量? ……"
双牛三角形DBB系列挖掘机破碎锤,……
世工SG40三角型破碎锤,"单位SG40驱动重量kg/1bs320/705驱动油压barpsi95~1301,377~1,855最大油压bar/psi170~2,465驱动油量1/min30~60钢钎直径mm……"
金土地S135神斧挖掘机破碎锤,规格名称 单位 S135 总重量 Kg 1650 液压油压力 Kg/cm2 160-180 液压油流量 L/min 130-150 打击频率 bpm 400-800 钎杆直径 mm……
诺森NSB53塔式破碎锤,规格说明单位NSB53塔型* 总重量Kg175打击频率bpm600~950工作压力bar90~120溢流阀压力bar140~160驱动油量l/min25~40钎杆直径mm53油管直……
黑金刚HJB68夹板侧置型破碎器,型号\参数总重量kg长度mm宽度mm要求流量l/min工作压力bar击打频率b.p.m冲击能量joule油管尺寸inch钎杆长度(直径/长度)mm适合挖机tonHJB6825013……
吉星JSB185D破碎锤,原装进口? 同级别最强的打击力? 同级别最大螺栓直径，保护缸体不易断裂? 最低频率最高效益（岩石硬度过高时）? 壳体前方保护板保护主机总成并延长使用期限? 准确的打击频率，降低破碎……
三一重工MG700/1740-WD1500系列采煤机,采高范围2240-4503mm适应倾角≤15°煤质硬度f≤4装机总功率1740KW外型尺寸长16436mm(滚筒φ2240mm)宽3212mm高4503mm滚筒直径φ2000mm;……
北方交通MG300/700- WD采煤机, 机载交流变频调速，齿轮销轨行走。2、 机载操作站操作和无线电离机遥控操作。3、 设备运行状态的检测、检测及有关参数的中文显示……
徐工MG2×180/790-AWD采煤机,MG2×200/870-AWD系列交流电牵引采煤机是一种多电机驱动，电机横向布置，交流变频调速无链双驱动电牵引采煤机……
三一重工EBZ260D大坡度岩巷掘进机,定位截割高度拱形巷道3.3m-5.36m矩形巷道3.0m-5.36m外形尺寸长15.5m宽1.履带两侧宽2.8m2.机身最宽处宽3.6m高1.机身高2.0m2.切割头水平放置最高点……
三一重工EBZ200G悬臂式掘进机,定位掘进高度拱形巷道3.3m-4.8m矩形巷道配除尘器3.3m-4.8m不配除尘器2.6m～4.8m定位掘进宽度配宽3.6m铲板4.2m-6.3m配宽3m铲板3.6m-6.3m配宽……
山河智能MG200/500-WD(K)采煤机,启动扭矩大，过载能力强，效率高，能频繁启动和换向。 2、机身各部件之间采用高强度液压螺栓连接。 3、截割部电机装有离合器装置和弹性扭矩轴，提高了安全性……
三一重工EBZ200H悬臂式掘进机,定位掘进高度拱形巷道3.3m-4.8m矩形巷道配除尘器3.3m-4.8m不配除尘器2.6m～4.8m定位掘进宽度配宽3.6m铲板4.2m-6m配宽3m铲板3.6m-6m配宽3.2m……
三一重工MG500/1240-WD1500系列采煤机,采高范围1600-3200mm适应倾角≤15°煤质硬度f≤4装机总功率1240KW外型尺寸长15183mm(滚筒φ1600mm)宽2989/3213mm高3200/3274mm滚筒……
三一重工EBZ230悬臂式掘进机,定位截割高度2.4m～5.2m定位截割宽度3.7m～6.5m爬坡能力±18°最大/经济截割岩石单向抗压强度≤90/75MPa外型尺寸长11.1m宽1.铲板宽:3.6m2.履带两侧宽……
北方交通MG450/1080-WD采煤机, 机载交流变频调速，齿轮销轨行走。2、 机载操作站操作和无线电离机遥控操作。3、 设备运行状态的检测、检测及有关参数的中文显示……
徐工MG2×160/710-AWD采煤机,MG2×200/870-AWD系列交流电牵引采煤机是一种多电机驱动，电机横向布置，交流变频调速无链双驱动电牵引采煤机……
三一重工EBZ200二代悬臂式掘进机,定位截割高度2.4m～5.2m定位截割宽度3.7m～6.5m爬坡能力±18°最大/经济截割岩石单向抗压强度≤90/70MPa外型尺寸长10.6m宽1.铲板宽:3.6m2.履带两侧宽……
三一重工EBH418悬臂式掘进机,定位截割高度4.0m～6.1m定位截割宽度4.0m～8.4m爬坡能力±18°最大/经济截割岩石单向抗压强度≤130/110MPa外型尺寸长13.4m宽1.铲板宽:3.6m2..机身……
雷沃重工TD系列M1200-D拖拉机,舒适性好○流线型换代金属机罩，时尚流线型外观设计，外形美观大方；○选装全密封封闭驾驶室，人机工程更合理；○选装带后雨刷、收音机，并可选装空调、暖风、风扇系统，豪华舒适；○全景玻璃门……
中联重科重机耕王RK454拖拉机,产品特点动力强，性能好，适用范围广● 匹配国内名优国Ⅱ发动机，动力强劲，安全性高、扭矩储备系数大；● 加强型双速动力输出，配套机具范围广；● 新一代流线型机罩美观大气，满足安全、防……
东方红（一拖）C702-A/C802/C902履带拖拉机,主要用途和性能特点：主要适用于农田作业兼顾推土作业。1)( 4F+2R )滑动齿轮换档变速箱，挡位合理适合农田作业兼顾推土作业。2)后桥采用新型密封结构，减少转向进油……
沭河SH704 Tractor四轮拖拉机,Tractor Model型 号SH704Diving Type型式/4×4Dimension LxWxH外廓尺寸(长×宽×高)mm4052×1900×2650Tread (fro……
井关T系列T954动力机械,产品特点：1.搭载高性能柴油发动机采用铂金斯的立式水冷4冲程4缸、总排气量为4400cc、98.6马力的大排量高性能柴油发动机……
国发JKY双级硬塑真空挤出机,该挤出机以其良好的运转性能和广泛的功能，在硬塑挤出方面有着绝对的优势，以高质量高效率满足用户的要求……
山河智能MG550/1230-WD采煤机,多电动机驱动、横向布置，结构简单，传动可靠。 2、截割电动机横向布置在摇臂上，摇臂和机身间没有动力传递……
三联机械QT10-15型砌块成型机,机型激振力(KN)振动频率(HZ)主机配用功率(KW)成型方式控制方式成型周期(S)外形尺寸(mm)主机部分净重(T)竹胶板规格每年产量300天双班 砌块 (m3)路面砖 ( ㎡)……
泉工QT4-20砌块成型机,"电气系统采用可编程控制器PLC控制,配备数据输入输出装置，控制系统包括安全逻辑及故障诊断系统……"
协兴XQY10-50制砖机,制砖机产品技术特点： 在吸收国际品牌砖机优点的基础上设计，结构新颖合理，操作、维护、更换模具方便，设备坚固耐用，性能稳定可靠，自动化程度高，平均单耗低，综合性价比优……
恒兴机械HQTY8-15全自动砌块成型机砖机,HQTY8-15全自动砌块成型机产品说明：监控每一环节，能够实现故障自锁，故障检测与产量统计，使砌块密度更好，水泥用量更省。该台机采用台振与模振相结合，保证了砌块的密实度……
瑞图RTQD12混凝土标砖、地砖成型机,RTQD12主要结构和技术特点：● 免托板，前期投资小，后期运行成本低，高产出;● 全线控制系统具有全自动、半联动及手动控制三种操作;● 可配有自动配料系统，配料精确、配比调整极为……
凯尔KAT1804拖拉机,"一、 方便增加附加装置整体车架，独立可扩展的PTO,可方便地增加装载、挖掘、推土、打井、提升等附加装置。扩展拖拉机的功能，提高拖拉机的利用率……"
五征ME1354轮式拖拉机,项 目单位设计值型号/ME1354型式/4×4四轮驱动外廓尺寸（长×宽×高）mm4615×2050×2950轴距mm2510轮距(前轮/后轮)mm1610~1950/1490~20……
雷鸣重工LM454拖拉机,……
潍坊百利悍沃404A拖拉机,产品参数:拖拉机型号404A型式四轮驱动标定牵引力KN8最大牵引功率KW≥22.05动力输出功率?KW25外型尺寸mm长3350宽1610高1900前轮轮距mm1220后轮轮距mm……
山东常林沭河SH800C拖拉机,产品特点：·产品轴距加长，增加了产品的爬坡牵引力；·宽阔明亮的全玻璃封闭驾驶室，视野开阔、操控更舒适，可满足运输用户群体的需求……
宏盛HS6-20型全自动心砌块成型机砖机,▲主要技术参数①、成型周期：15-20秒②、成型块数：6块/横390×390×190mm切块③、生产率：6000-7500块/8小时④、振动频率：2900次/分⑤、振动：60kn⑥……
德科达DK6-15B(单料)自动砌块成型机砖机,"产量表产品规格每板块数块/1小时块/8小时块/300(两班)砌块390*190*19061,44011,5206,912,000多孔砖240*115*90153,60028,800……"
祥达（XD8-15）自动式砌块成型机砖机,"产品类型 产品类型 块/周期 块/小时 块/8小时 块/年（300天计） 空心砖 390190190mm8190015,000块 4，600，000块 多孔砖 24011590mm……"
益鑫QT12-15型砖机,◇进口高效能液压比例系统纯正部件(更高效、节能)◇进口智能PLC触摸屏及纯正电气原件(自动化程度高、操作更简便)◇破拱式快速布料装置(对多孔砖布料特别有利、更均匀)◇扩展式高效振动……
天沃重工JQ6.0加气混凝土砌块,加气混凝土砌块是一种轻质、多孔的新型建筑材料，具有质量轻、保温好、可加工和不燃烧等优点，已成为我国大力推广和发展的一种新型建筑材料……
虎鼎机械QT6-15砌块成型机,砖机技术特点：进口高效能液压比例系统纯正部件（更高效、节能） 2、进口智能PLC触摸屏及纯正电气原件（自动化程度高、操作更简便）3、破拱式快速布料装置（对多孔砖布料特别有利、更均匀……
华源机械QT4-15自动混凝土液压砌块成型机,集机、电、液于一体，并机自动循环运行工作，每个动作程序互锁，压力自动分配。2、布料系统采用独特的强制式破拱装置，适应不同产品的模具模腔布料，布料均匀无死角……
郑州天一QTJ4-25型砌块成型机砖机,1.本机整体结构紧凑、设备合理，转动部位采用机械化装置，准确、可靠。降低劳动强度，提高生产效率。2.上下加压，定向振动，变频刹车，达到高密度、高强度的成型效果……
爱科维美德　T2104拖拉机,T2104型拖拉机维美德T2104拖拉机是一款源自欧洲的经典产品，具有节油、可靠、性价比高的特点……
徐工XZJ5060ZXX车厢可卸式垃圾车,徐工集团推出的环卫专用车辆。产品更加节能和经济，整机操控简便、作业空间小，灵活高效，特别适合配合垃圾中转站用于新型住宅小区及老城区街道等人口密集地区垃圾的收运工作……
海诺HNJ5252ZXX箱体可移动式系列垃圾车,……
湖北合力自卸式垃圾车-BJ5163ELFFA,自卸式垃圾车产品主要技术资料产品名称：自卸式垃圾车外型尺寸(mm)：7100×2470×3000底盘型号：BJ5163ELFFA货厢尺寸(mm)：4500×2210×800总 质 ……
黑豹汽车钩臂式垃圾运输车,应用广泛：车厢可卸式垃圾车，又称钩臂式垃圾车、拉臂式垃圾车，该车广泛适用于城市、乡镇、街道、农村、学校等生活垃圾的收集、转运和处理……
三民重科YSYA-160侧装式垃圾压缩车,侧装式压缩机广泛应用于居民小区、校园、公园、厂区、车站、码头、街道和农村等利用小型收集工具(如人力车、垃圾桶等)收集垃圾后进行转运的垃圾中转站或收集站，是一种世界各国普遍首选的垃圾……
圣岳SDZ5164ZYS压缩式垃圾车,主要性能特点：1.上装引进韩国技术，全进口零部件组装，厢体采用光滑的曲面壳体结构，造型美观，增加了厢体的强度，减少厢体整备质量……
宜工密封自卸式垃圾车密封自卸式垃圾车,密封自卸式垃圾车分为：JTZ5160ZLJ、JTZ5168ZLJ、JTZ5121ZLJ、JTZ5102ZLJ型·本产品具有一次装载运输量大和密闭运输的特点，降低燃油消耗，防止垃圾飘……
青岛解放J5M4x2压缩垃圾车,用于收集、装载和运输生活垃圾，并可将装入的垃圾压缩、压碎，使其密度增大，体积缩小，大大地提高了垃圾收集和运输的效率。2、质量可靠，功能先进、故障率低，维护方便，运行费用低……
威猛SW5000青贮圆捆缠膜机,o带有液压捡拾和卸载装置，工作效率高o控制器自动控制缠膜和切膜过程o塑料膜拉伸率可选择55%或70%，可保证青贮包裹的密封性，确保发酵质量……
凯尔1204轮式拖拉机,……
九方泰禾DK系列DK850轮式拖拉机,产品特点：采用国Ⅱ排放涡轮增压发动机，扭矩储备30%，绿色环保，强劲有力；2、选用德国LUK离合器，安全可靠；3、摆线转阀式、全液压转向器，双式静液压制动系统，操作轻便灵活、作业精……
山东汇强垃圾收集车,名称单位技术参数外形尺寸（长×宽×高）㎜5090×2150×2510底盘型号HFC1070K5T轴距㎜2800燃油种类柴油发动机型号HFC4DA1-1B车总质量（满载）Kg6995……
楚飞楚飞牌CLQ5140ZYS3型压缩式垃圾车,产品名称：CLQ5140ZYS3公告批次：247底盘型号：EQ3142GD4JAC排放标准：-总质量：14340(Kg)接近/离去角：27/13(°)额定质量：6000(Kg)前悬……
奥驰汽车奥驰自卸式垃圾车,产品亮点■ 动力十足发动机动力强劲，可靠性高，节油环保。■ 坚固耐用专用机构机构合理、结构可靠。■ 运行高效可自行吊装、自卸，一车配备多个环卫箱，循环运输……
中国重汽ZZ5251ZLJN384GD1自卸式垃圾车,该车为中国重汽成熟产品，结构稳定可靠，承载能力强，动力强劲，性能稳定可靠，市场认知度较高，满足工地，矿区等恶劣环境使用要求，适用于短途矿山土石方施工及工程建筑施工……
江特东风国四勾臂垃圾车,产品名称：CLW5040ZXX4型车厢可卸式垃圾车外型尺寸：4570X1780X2090(mm)底盘型号：DFA1041SJ30D2货厢尺寸：XX (mm)总质量：4370(Kg)……
厦工楚胜SLA5251ZXXDFL8车厢可卸式垃圾车,"产品名称车厢可卸式垃圾车车辆型号SLA5251ZXXDFL8底盘型号DFL1250A11底盘参数燃料种类柴油依据标准GB3847-2005,GB17691-2005国Ⅲ整车外形尺寸……"
北方交通ZDY12000LF松软煤层超深孔定向钻机,为满足煤矿深部开采及松软煤层钻孔施工对钻机性能的要求，集团结合我国煤层地质条件研制成功了适合软煤层、裂隙发育地层钻进并带有自救功能的双管式超深孔定向钻机，该钻机作业性能稳定、测斜精……
恒天九五JVD-380水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
钻通ZT-600型非开挖铺管钻机,……
徐工XZ320水平定向钻,XZ320水平定向钻技术特点：进口行走减速机，故障少。独特的浮动式动力虎钳，动力头、虎钳双浮动，可有效延长钻杆的使用寿命。可选装钻杆辅助自动装卸装置，减轻操作者劳动强度……
华力重工HL525B水平定向钻,HL525B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的半自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
德威土行孙DDW-6000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架按装在轮式拖车上……
中海恒通HT-10C非开挖定向钻机,HT-10C钻机特点 &gt;&gt;1.主机结构紧凑、体积小、重量轻，可快速解体便于人工搬运;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3……
德航重工DH8000-LL水平定向钻,……
谷登机械GD8000-LL型水平定向钻,动力源重庆康明斯559Kw/rPm柴油机两台，根据工况需要可启动单机而不影响工程。如两台发动机同时工 作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
威猛V200水平定向钻机,V200水平导向钻机在各种地质条件下工作都能达到您期待的高水平表现。它具有5423.3牛米的旋转扭矩和20吨级的回拖能力……
中联重科KSD15水平定向钻,性能特点KSD15 型水平定向钻孔机在继承了英国保路捷公司研制的样机一体化设计、自动化程度高等优点的基础上，在元件选择、结构和系统设计等方面做了大量的改进，在掘进能力和可靠性等方面……
恒天九五JVD-200水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
钻通ZT-60/85型非开挖铺管钻机,ZT-60/85型非开挖铺管钻机的液压件(包括油泵、压力阀、压力阀、油管、快速接头)均为原装进口产品，柴油机为康明斯牌，动力强劲，性能可靠……
徐工XZ400水平定向钻,动力强劲：采用178kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业……
德威土行孙DDW-100水平定向钻,该钻机主机和动力站均为轮式行走组合机型，体积小，能力大，机架可以调节倾角并能在工作坑水平两种形式施工。还可在工作坑内施工大管径短距离管道……
德威土行孙DDW-110水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用单马达驱动，配有机载泥浆泵(150L/min)和开放式控制室……
德威土行孙DDW-150E水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，配有机载泥浆泵(180-240L/min)和开放式控制室……
德威土行孙DDW-230水平定向钻,该定向钻机为自行式橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，扭矩大，配有机载泥浆泵(250L/min)和开放式控制室……
德威土行孙DDW-280水平定向钻,该定向钻机为橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构;动力头回转采用双速马达驱动，效率高;配有250L/min机载泥浆泵;开放式控制室……
德威土行孙DDW-320水平定向钻,该钻机为橡胶履带底盘式整体机型，备钻迅速。给进、回拖为马达-链条机构，动力头回转采用马达驱动，配有机载泥浆泵(320L/min)和开放式控制室……
德威土行孙DDW—450B水平定向钻,该钻机为橡胶履带底盘装载，移动灵活……
德威土行孙DDW-600A水平定向钻,该钻机为钢制履带底盘，机动力强，适合野外施工。钻架采用齿轮-齿条结构实现给进、回拖工况;液压系统采用变量系统更加节能。控制系统广泛采用电-液控制等先进的控制方式……
德威土行孙DDW-1200水平定向钻,"该定向钻机为钢制履带底盘。钻架可滑移，使钻进角度调节范围大;双马达驱动动力头，旋转扭矩大，给进、回拖采用齿轮齿条无极调速形式,工作效率高。整机具较高的性价比……"
德威土行孙DDW-1600水平定向钻,该定向钻机为钢制履带底盘，同时可选配橡胶板方便城市施工。钻架可滑移，使钻进角度调节范围大;双马达驱动动力头，扭矩大;采用齿轮齿条给进机构，两档无极调速，工作效率高……
德威土行孙DDW-2000水平定向钻,该定向钻机为钢制履带底盘，同时可选配橡胶板方便城市施工。钻架可滑移，使钻进角度调节范围大;高强度齿轮齿条机构输出效率高、可靠性强……
德威土行孙DDW-3000水平定向钻,该铺管钻机是为大型管道穿越而研发的专用设备，钻机的工作桅杆和动力源及控制室等组装在履带底盘上，工作桅杆由双齿道和钻进推盘轨道组成，输出效率高，性能可靠……
德威土行孙DDW-4000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架安装在履带底盘上……
德威土行孙DDW-6000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架按装在轮式拖车上……
钻通ZT-40/65型非开挖铺管钻机,ZT-40/65型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头)均为原装进口产品，柴油机为世界著名品牌康明斯，动力强劲，性能可靠……
徐工XZ200水平定向钻,项目单位参数发动机型号康明斯发动机额定功率KW110推拉方式齿轮齿条最大回拖 / 进给力kN200/200动力头最大扭矩N.m6350动力头转速r/min0-150动力头行进速度m……
德威土行孙DDW-280水平定向钻,该定向钻机为橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构;动力头回转采用双速马达驱动，效率高;配有250L/min机载泥浆泵;开放式控制室……
威猛D300X500水平定向钻机,"长度 640"" (1625cm) 宽度 100"" (254cm) 高度 134"" (340cm) 操作重量 89,800 lbs (39,500kg) 最大主轴扭矩 50,000f……"
钻通ZT-36型非开挖铺管钻机,ZT-36型非开挖铺管钻机为履带自行走式全液压定向钻进铺管钻机……
徐工XZ1500水平定向钻,·发动机为康明斯六缸水冷式涡轮增压发动机，功率储备大，保证钻机能在各种复杂地质条件下，完成铺管作业……
德威土行孙DDW-320水平定向钻,该钻机为橡胶履带底盘式整体机型，备钻迅速。给进、回拖为马达-链条机构，动力头回转采用马达驱动，配有机载泥浆泵(320L/min)和开放式控制室……
钻通ZT-35A型非开挖铺管钻机,ZT-35A型非开挖铺管钻机为履带自行走式全液压定向钻进铺管钻机……
徐工XZ1000A水平定向钻,项目单位参数发动机型号康明斯发动机额定功率KW264推拉方式齿轮齿条最大回拖 / 进给力kN1000/1000动力头最大扭矩N.m35000动力头转速r/min0-120动力头行进……
德威土行孙DDW-110水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用单马达驱动，配有机载泥浆泵(150L/min)和开放式控制室……
德航重工DH750B-L水平定向钻,……
谷登机械GD6000-TT型水平定向钻,动力源重庆康明斯559Kw/rPm柴油机两台，根据工况需要可启动单机而不影响工程。如两台发动机同时工 作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
威猛V500水平定向钻机,实时监控  故障率低智能模块实时监控，液晶显示，提供自动诊断功能。模块控制，精确可靠，故障率极低……
中联重科KSD18水平定向钻,KSD18型水平定向钻机是中联重科吸收国内外先进技术结合国内实际需求开发研制的最新产品，它秉承了中联钻机的传统特点：关键零部件采用原装进口件、重要零部件选用优质国产件、按国际通用标……
北方交通ZDY4000LK煤矿用全液压坑道钻机,该钻机既可用于煤矿瓦斯的抽排放钻孔施工，也可用于井下放水、地质勘探、煤层探测、煤层注水等各类工程钻孔的施工……
恒天九五JVD-280水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
钻通ZT-80/105型非开挖铺管钻机,主要特点：齿轮-齿条，给进-回拉机构，动力头运行平稳、可靠、免维修2、动力头主轴通径76mm，便于使用泥浆马达3、液压虎钳可全程移动，方便拧卸钻杆4、机载驾驶室集中控制带空调，操作……
徐工XZ180水平定向钻,?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率。?橡胶履带：对道路、草坪和风景点的影响小……
钻通ZT-33型非开挖铺管钻机,……
徐工XZ320D水平定向钻,·动力强劲：采用160/140kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业……
德威土行孙DDW-3000水平定向钻,该铺管钻机是为大型管道穿越而研发的专用设备，钻机的工作桅杆和动力源及控制室等组装在履带底盘上，工作桅杆由双齿道和钻进推盘轨道组成，输出效率高，性能可靠……
钻通ZT-300型非开挖铺管钻机,ZT-300型非开挖铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
华力重工HL518B水平定向钻,该装备采用全液压控制及动力驱动技术，实现钻具的回转、推进、回扩、回拖及行走装置的驱动等功能，主要用于穿越公路、铁路、建筑物、河流，以及在闹市区、文物保护区、农作物和植被保护区等不易……
德威土行孙DDW-100水平定向钻,该钻机主机和动力站均为轮式行走组合机型，体积小，能力大，机架可以调节倾角并能在工作坑水平两种形式施工。还可在工作坑内施工大管径短距离管道……
中海恒通HT-42L非开挖定向钻机,2012新款HT-42L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
德航重工DH800B－L水平定向钻,……
谷登机械GD100A-L 型水平定向钻,外形尺寸小，施工转场方便。2、推拉、夹持采用开式负载敏感变量系统，美国萨奥负载敏感变量柱塞泵。3、采用齿轮齿条推拉系统，效率高，工作平稳……
威猛V400水平定向钻机,V400 BY VBM Navigator?水平导向钻机可按需配置，使客户能够根据具体使用要求自定义设备。选配组件还包括配备空调的驾驶室、电液控制的钻杆装载器以及前置地锚系统……
德威土行孙DDW-4000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架安装在履带底盘上……
中海恒通HT-42LB非开挖定向钻机,2012新款HT-42LB钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
德航重工DH450/900－L水平定向钻,……
力士CTQ-D100水平定向钻,主要技术参数整机重量2.6T钻孔直径90-130mm外形尺寸4100×2030×2020钻孔深度30m行走速度2km/h一次推出长度2m爬坡能力30度工作气压0.5-0.7Mpa最……
海天路矿CZ系列冲击钻机,项目名称 技 术 参 数 CZ-5 CZ-6 CZ-8钻孔直径mm400-600600-1001000-1200400-600600-1001000-1200400-600600-……
